"Phono.orig","Phono","n_phon","P01","P02","P03","P04","P05","P06","P07","P08","P09","Pfreq01","Pfreq02","Pfreq03","Pfreq04","Pfreq05","Pfreq06","Pfreq07","Pfreq08","Pfreq09","Pfreq_sum","Pfreq_mean","B0102","B0203","B0304","B0405","B0506","B0607","B0708","B0809","Bfreq0102","Bfreq0203","Bfreq0304","Bfreq0405","Bfreq0506","Bfreq0607","Bfreq0708","Bfreq0809","Bfreq_sum","Bfreq_mean","CondTP01","CondTP02","CondTP03","CondTP04","CondTP05","CondTP06","CondTP07","CondTP08","CondTP09","N_sum","N_prop","N_loc_mean","N_loc_sd","N_loc_mean_norm","N_loc_sd_norm","neighbors"
"bark","bark",4,"b","a","r","k",NA,NA,NA,NA,NA,0.10377358490566,0.232227488151659,0.126903553299492,0.0737704918032787,NA,NA,NA,NA,NA,0.53667511816009,0.134168779540023,"ba","ar","rk",NA,NA,NA,NA,NA,0.033175355450237,0.0913705583756345,0.0245901639344262,NA,NA,NA,NA,NA,0.149136077760298,0.0497120259200992,0.10377358490566,0.318181818181818,0.285714285714286,0.5,NA,NA,NA,NA,NA,5,0.0235849056603774,1.75,1.5,0.4375,0.375,"ark bar bark dark park"
"bat^l","bat_l",5,"b","a","t","_","l",NA,NA,NA,NA,0.10377358490566,0.232227488151659,0.121827411167513,0.180327868852459,0.175438596491228,NA,NA,NA,NA,0.813594949568519,0.162718989913704,"ba","at","t_","_l",NA,NA,NA,NA,0.033175355450237,0.0304568527918782,0.0327868852459016,0.157894736842105,NA,NA,NA,NA,0.254313830330122,0.0635784575825305,0.10377358490566,0.318181818181818,0.142857142857143,1,1,NA,NA,NA,NA,1,0.00471698113207547,NA,NA,NA,NA,"bat_l"
"bi","bi",2,"b","i",NA,NA,NA,NA,NA,NA,NA,0.10377358490566,0.151658767772512,NA,NA,NA,NA,NA,NA,NA,0.255432352678172,0.127716176339086,"bi",NA,NA,NA,NA,NA,NA,NA,0.014218009478673,NA,NA,NA,NA,NA,NA,NA,0.014218009478673,0.014218009478673,0.10377358490566,0.136363636363636,NA,NA,NA,NA,NA,NA,NA,7,0.0330188679245283,1.25,0.612372435695794,0.625,0.306186217847897,"bi bit Si ki pi si ti"
"bist","bist",4,"b","i","s","t",NA,NA,NA,NA,NA,0.10377358490566,0.151658767772512,0.0558375634517767,0.131147540983607,NA,NA,NA,NA,NA,0.442417457113555,0.110604364278389,"bi","is","st",NA,NA,NA,NA,NA,0.014218009478673,0.0203045685279188,0.0327868852459016,NA,NA,NA,NA,NA,0.0673094632524934,0.0224364877508311,0.10377358490566,0.136363636363636,0.333333333333333,1,NA,NA,NA,NA,NA,5,0.0235849056603774,1.75,0.957427107756338,0.4375,0.239356776939085,"bist bit bust ist list"
"bit","bit",3,"b","i","t",NA,NA,NA,NA,NA,NA,0.10377358490566,0.151658767772512,0.121827411167513,NA,NA,NA,NA,NA,NA,0.377259763845685,0.125753254615228,"bi","it",NA,NA,NA,NA,NA,NA,0.014218009478673,0.0152284263959391,NA,NA,NA,NA,NA,NA,0.0294464358746121,0.014723217937306,0.10377358490566,0.136363636363636,0.333333333333333,NA,NA,NA,NA,NA,NA,8,0.0377358490566038,1.78571428571429,0.809173593712687,0.595238095238095,0.269724531237562,"bi bist bit but b_t Sit it sit"
"blak","blak",4,"b","l","a","k",NA,NA,NA,NA,NA,0.10377358490566,0.0663507109004739,0.111675126903553,0.0737704918032787,NA,NA,NA,NA,NA,0.355569914512966,0.0888924786282416,"bl","la","ak",NA,NA,NA,NA,NA,0.014218009478673,0.0203045685279188,0.0245901639344262,NA,NA,NA,NA,NA,0.059112741941018,0.0197042473136727,0.10377358490566,0.136363636363636,0.333333333333333,1,NA,NA,NA,NA,NA,3,0.0141509433962264,1,0,0.25,0,"blak klak lak"
"blu","blu",3,"b","l","u",NA,NA,NA,NA,NA,NA,0.10377358490566,0.0663507109004739,0.0761421319796954,NA,NA,NA,NA,NA,NA,0.24626642778583,0.0820888092619433,"bl","lu",NA,NA,NA,NA,NA,NA,0.014218009478673,0.0152284263959391,NA,NA,NA,NA,NA,NA,0.0294464358746121,0.014723217937306,0.10377358490566,0.136363636363636,0.333333333333333,NA,NA,NA,NA,NA,NA,3,0.0141509433962264,1,0,0.333333333333333,0,"blu glu klu"
"bl^d","bl_d",4,"b","l","_","d",NA,NA,NA,NA,NA,0.10377358490566,0.0663507109004739,0.0812182741116751,0.0901639344262295,NA,NA,NA,NA,NA,0.341506504344039,0.0853766260860097,"bl","l_","_d",NA,NA,NA,NA,NA,0.014218009478673,0.0253807106598985,0.0245901639344262,NA,NA,NA,NA,NA,0.0641888840729977,0.0213962946909992,0.10377358490566,0.136363636363636,0.333333333333333,1,NA,NA,NA,NA,NA,1,0.00471698113207547,NA,NA,NA,NA,"bl_d"
"brid","brid",4,"b","r","i","d",NA,NA,NA,NA,NA,0.10377358490566,0.180094786729858,0.0761421319796954,0.0901639344262295,NA,NA,NA,NA,NA,0.450174438041443,0.112543609510361,"br","ri","id",NA,NA,NA,NA,NA,0.014218009478673,0.0406091370558376,0.0163934426229508,NA,NA,NA,NA,NA,0.0712205891574614,0.0237401963858205,0.10377358490566,0.136363636363636,0.333333333333333,1,NA,NA,NA,NA,NA,3,0.0141509433962264,2,1.4142135623731,0.5,0.353553390593274,"brid brud rid"
"brud","brud",4,"b","r","u","d",NA,NA,NA,NA,NA,0.10377358490566,0.180094786729858,0.0761421319796954,0.0901639344262295,NA,NA,NA,NA,NA,0.450174438041443,0.112543609510361,"br","ru","ud",NA,NA,NA,NA,NA,0.014218009478673,0.050761421319797,0.00819672131147541,NA,NA,NA,NA,NA,0.0731761521099454,0.0243920507033151,0.10377358490566,0.136363636363636,0.333333333333333,1,NA,NA,NA,NA,NA,2,0.00943396226415094,3,NA,0.75,NA,"brid brud"
